Saguaro ID,Year,Height in Inches,Growth in Inches
233,1980,16,0
233,1981,16,1.435595774
233,1983,19,2
233,1984,21,1
233,1985,22,0
233,1986,22,1.5
233,1987,23.5,2
233,1988,25.5,-0.25
233,1989,25.25,-1.75
234,1981,16,3.595917942
234,1983,24,4
234,1984,28,4
234,1985,32,2
234,1986,34,2.5
234,1987,36.5,5.5
234,1988,42,5.75
234,1989,47.75,7.75
234,1990,55.5,6.25
234,1991,61.75,3.5
234,1992,65.25,8.75
235,1981,29,4.196385345
235,1983,38,4
235,1984,42,2
235,1985,44,2
235,1986,46,3.5
235,1987,49.5,5
235,1988,54.5,4.5
235,1989,59,4.75
235,1990,63.75,4.75
236,1981,24,4.982753492
236,1983,35,5
236,1984,40,5
236,1985,45,6
236,1986,51,7.5
236,1987,58.5,8.5
237,1981,45,6.088159098
237,1983,58,4
237,1984,62,5
237,1985,67,4
238,1981,9,1.816653826
238,1983,13,1.5
238,1984,14.5,2.5
238,1985,17,0
238,1986,17,0.25
238,1987,17.25,2.75
238,1988,20,1.375
238,1989,21.375,2.125
238,1990,23.5,2.75
238,1991,26.25,2.38
238,1992,28.63,0.12
238,1993,28.75,1.75
238,1994,30.5,2.75
238,1995,33.25,2.62
238,1996,35.87,3.38
238,1997,39.25,3
238,1998,42.25,2.88
238,1999,45.13,3.87
238,2000,49,3
238,2001,52,5.75
238,2002,57.75,5
238,2003,62.75,4
238,2004,66.75,3.25
239,1980,8,1
239,1981,9,2.22497216
239,1983,14,3
239,1984,17,2
239,1985,19,3.5
239,1986,22.5,2.75
239,1987,25.25,3.25
239,1988,28.5,1.625
239,1989,30.125,2.125
239,1990,32.25,1.75
239,1991,34,5.5
239,1992,39.5,5
239,1993,44.5,1.5
239,1994,46,5.38
239,1995,51.38,1.12
239,1996,52.5,0.875
239,1997,53.375,10.5
239,1998,63.875,2.875
239,1999,66.75,7.25
240,1980,3,0
240,1981,3,0.872983346
240,1983,5,1
240,1984,6,1
240,1985,7,1
240,1986,8,2
240,1987,10,1.5
240,1988,11.5,0.5
240,1989,12,2.25
240,1990,14.25,1.875
240,1991,16.125,0.505
240,1992,16.63,1.62
240,1993,18.25,0.75
240,1994,19,0.5
240,1995,19.5,1.62
240,1996,21.12,2.005
240,1997,23.125,2.375
240,1998,25.5,2.5
240,1999,28,2.25
240,2000,30.25,1.5
240,2001,31.75,4
240,2002,35.75,1.5
240,2003,37.25,3.25
240,2004,40.5,1
240,2005,41.5,3.5
240,2006,45,5
240,2007,50,1.75
240,2008,51.75,3.75
240,2009,55.5,3
241,1980,6,1
241,1981,7,1.366600265
241,1983,10,1.5
242,1980,5.5,1.5
242,1981,7,1.366600265
242,1983,10,2
242,1984,12,2
243,1981,4,0.898979486
243,1983,6,1
243,1984,7,0.5
243,1985,7.5,-0.5
243,1986,7,1.25
243,1987,8.25,1.5
243,1988,9.75,1.25
243,1989,11,0.375
243,1990,11.375,1
243,1991,12.375,0.255
243,1992,12.63,0
244,1981,2,0.828427125
244,1983,4,0
244,1984,4,0
245,1983,6,2
245,1984,8,1
245,1985,9,1.5
245,1986,10.5,1.5
245,1987,12,1.5
245,1988,13.5,1.625
245,1989,15.125,1.375
245,1990,16.5,2
245,1991,18.5,1.25
245,1992,19.75,2.25
245,1993,22,3
245,1994,25,3.5
245,1995,28.5,3.25
245,1996,31.75,4
245,1997,35.75,4.375
245,1998,40.125,5.875
245,1999,46,6.5
245,2000,52.5,4.5
245,2001,57,7
245,2002,64,4
245,2003,68,4
246,1983,5,1
246,1984,6,0
246,1985,6,0
246,1986,6,0
246,1987,6,0.625
246,1988,6.625,1.25
246,1989,7.875,1
246,1990,8.875,0.25
246,1991,9.125,0.125
246,1992,9.25,0.87
246,1993,10.12,0.88
246,1994,11,-0.25
246,1995,10.75,0.87
246,1996,11.62,0.63
246,1997,12.25,0.125
246,1998,12.375,0.755
246,1999,13.13,0.62
246,2000,13.75,0.25
246,2001,14,1.5
246,2002,15.5,0.75
246,2003,16.25,0.75
246,2004,17,1.25
246,2005,18.25,0.5
246,2006,18.75,1.75
246,2007,20.5,2.25
246,2008,22.75,1.25
246,2009,24,1
247,1983,15,1
247,1984,16,3
247,1985,19,0
247,1986,19,1
247,1987,20,-0.25
247,1988,19.75,3.5
247,1989,23.25,2
247,1990,25.25,1.75
247,1991,27,2.63
247,1992,29.63,3.24
247,1993,32.87,2.13
247,1994,35,3.125
247,1995,38.125,4.125
247,1996,42.25,3.5
247,1997,45.75,4.5
247,1998,50.25,4
247,1999,54.25,5.25
247,2000,59.5,5.25
247,2001,64.75,2
247,2002,66.75,7.25
248,1983,17,3
248,1984,20,3
248,1985,23,2
248,1986,25,-0.75
248,1987,24.25,2.75
248,1988,27,3.75
248,1989,30.75,3.5
248,1990,34.25,2
248,1991,36.25,3.62
248,1992,39.87,6
248,1993,45.87,6.13
248,1994,52,5.875
248,1995,57.875,6.625
248,1996,64.5,6.25
249,1983,4,1
249,1984,5,1
249,1985,6,0
249,1986,6,0.75
249,1987,6.75,0
249,1988,6.75,0.375
249,1989,7.125,0.25
249,1990,7.375,1.125
249,1991,8.5,0.37
249,1992,8.87,0.38
249,1993,9.25,1
249,1994,10.25,0.875
249,1995,11.125,0.625
249,1996,11.75,3.25
249,1997,15,-1
249,1998,14,1
249,1999,15,2
249,2000,17,3.25
249,2001,20.25,1.5
249,2002,21.75,0.25
249,2003,22,3
249,2004,25,0.75
249,2005,25.75,1.25
249,2006,27,3.75
249,2007,30.75,2.25
249,2008,33,3.5
249,2009,36.5,4
250,1983,9,1.5
250,1984,10.5,1.5
250,1985,12,0.5
250,1986,12.5,0.5
250,1987,13,-0.75
250,1988,12.25,2.375
250,1989,14.625,0.125
250,1990,14.75,1.75
250,1991,16.5,1.5
250,1992,18,0.87
250,1993,18.87,0.88
250,1994,19.75,0.75
250,1995,20.5,2.25
250,1996,22.75,1.5
250,1997,24.25,3.125
250,1998,27.375,2.375
250,1999,29.75,1.75
250,2000,31.5,2.75
250,2001,34.25,2.75
250,2002,37,1.5
250,2003,38.5,3.75
250,2004,42.25,3
250,2005,45.25,3.25
250,2006,48.5,4.5
250,2007,53,4.5
250,2008,57.5,5
250,2009,62.5,5.75
251,1983,3,1
251,1984,4,1
251,1985,5,1
251,1986,6,1.5
251,1987,7.5,0
251,1988,7.5,1.625
251,1989,9.125,0.375
251,1990,9.5,1
251,1991,10.5,1.62
251,1992,12.12,0.38
251,1993,12.5,1.5
251,1994,14,1.875
251,1995,15.875,1.125
251,1996,17,0.875
251,1997,17.875,1.625
251,1998,19.5,0.75
251,1999,20.25,2.75
251,2000,23,1.5
251,2001,24.5,1
251,2002,25.5,3
251,2003,28.5,1.75
251,2004,30.25,2.25
251,2005,32.5,1.75
251,2006,34.25,2.75
251,2007,37,2.75
251,2008,39.75,1.75
251,2009,41.5,4.75
252,1983,6,2
252,1984,8,1
252,1985,9,1
252,1986,10,0
252,1987,10,0.75
252,1988,10.75,0.875
252,1989,11.625,1
252,1990,12.625,1.625
252,1991,14.25,2.13
252,1992,16.38,1
252,1993,17.38,2
252,1994,19.38,2.87
252,1995,22.25,1.37
252,1996,23.62,1.63
252,1997,25.25,1.375
252,1998,26.625,1.625
252,1999,28.25,3.25
252,2000,31.5,3.25
252,2001,34.75,3.25
252,2002,38,2
252,2003,40,3
252,2004,43,3
252,2005,46,3.5
252,2006,49.5,4.75
252,2007,54.25,4.25
252,2008,58.5,4.5
252,2009,63,4.5
253,1983,13,3
253,1984,16,2
253,1985,18,3
253,1986,21,2.25
253,1987,23.25,4.25
253,1988,27.5,3.375
253,1989,30.875,3.5
253,1990,34.375,4.5
253,1991,38.875,4.505
253,1992,43.38,4.62
253,1993,48,4
253,1994,52,7.38
253,1995,59.38,6
253,1996,65.38,5.87
254,1983,7,2
254,1984,9,1
254,1985,10,0.5
254,1986,10.5,2.25
254,1987,12.75,1.875
254,1988,14.625,1.375
254,1989,16,0.625
254,1990,16.625,2.25
254,1991,18.875,1.995
254,1992,20.87,1.88
254,1993,22.75,2.12
254,1994,24.87,2.005
254,1995,26.875,1.505
254,1996,28.38,2.995
254,1997,31.375,1.25
254,1998,32.625,2.75
254,1999,35.375,3.125
254,2000,38.5,3.25
254,2001,41.75,3.25
254,2002,45,1.75
254,2003,46.75,4.5
254,2004,51.25,2.25
254,2005,53.5,2.5
254,2006,56,3.5
254,2007,59.5,6
254,2008,65.5,4.25
255,1983,10,2
256,1983,10,2
256,1984,12,1
256,1985,13,0.5
256,1986,13.5,3
256,1987,16.5,2.5
256,1988,19,2.125
256,1989,21.125,0.75
256,1990,21.875,3.375
256,1991,25.25,2.5
256,1992,27.75,3.5
256,1993,31.25,2.5
256,1994,33.75,5.125
256,1995,38.875,3.625
256,1996,42.5,3.25
256,1997,45.75,3.5
256,1998,49.25,4.125
256,1999,53.375,5.125
256,2000,58.5,2
256,2001,60.5,5.25
256,2002,65.75,3
257,1983,9,3
258,1983,4,1.5
258,1984,5.5,2.5
258,1985,8,0
258,1986,8,1
258,1987,9,2
258,1988,11,1.875
258,1989,12.875,1.375
258,1990,14.25,2
258,1991,16.25,2.13
258,1992,18.38,2.49
258,1993,20.87,3
258,1994,23.87,4.13
258,1995,28,2.5
258,1996,30.5,4.375
258,1997,34.875,4.125
258,1998,39,3.875
258,1999,42.875,5.625
258,2000,48.5,5
258,2001,53.5,4.25
258,2002,57.75,0.75
258,2003,58.5,5
258,2004,63.5,3.5
258,2005,67,3.5
259,1984,10.5,0.5
259,1985,11,0.5
259,1986,11.5,0.75
259,1987,12.25,1.5
259,1988,13.75,0.5
259,1989,14.25,0.5
259,1990,14.75,1.125
259,1991,15.875,0.755
259,1992,16.63,1.24
259,1993,17.87,0.63
259,1994,18.5,0.88
259,1995,19.38,-0.13
259,1996,19.25,2.875
259,1997,22.125,1.625
259,1998,23.75,0.375
259,1999,24.125,1.875
259,2000,26,1.25
259,2001,27.25,1.25
259,2002,28.5,1.5
259,2003,30,0.75
259,2004,30.75,-0.5
259,2005,30.25,0.75
259,2006,31,2.5
